20231118	12:09:13 	 a01cfdd2-3381-4c52-bcce-d4547db22026 	 GET 	 undefined 	 /
20231118	12:13:14 	 fc270735-3233-4770-bf12-b54eb1bb85eb 	 GET 	 https://start.fedoraproject.org 	 /
20231118	12:14:26 	 2a6d8794-58ca-481e-a99b-967eb78460aa 	 GET 	 https://www.google.com 	 /
20231118	12:14:35 	 f01fe571-bf9d-4b0b-a252-230fa951f324 	 GET 	 https://www.google.com 	 /
20231118	12:14:50 	 439913d5-be3a-4bf4-a2f5-00b138714065 	 GET 	 https://www.google.com 	 /
20231118	12:14:56 	 38562105-151c-47e1-a0ef-17e78c9da972 	 GET 	 https://www.google.com 	 /
20231118	12:16:07 	 2c65ed9a-2fe3-4fac-8591-bcf45f393dd7 	 GET 	 https://www.google.com 	 /
20231118	12:16:33 	 1ae87064-a9a3-4e1c-a24a-d893365de01d 	 GET 	 https://www.google.com 	 /
20231118	12:16:34 	 81d186f6-c779-4548-b3ea-b205f5e79ebb 	 GET 	 https://www.google.com 	 /
20231118	12:19:30 	 60899068-604d-4fe1-a42f-31dd7916bf11 	 GET 	 undefined 	 /index
20231118	12:20:19 	 9ed0c1dc-1ff1-4aea-8cbf-c7c5ce694455 	 GET 	 https://www.google.com 	 /
20231118	12:23:42 	 c2cb727a-21aa-4e4d-ba60-09d52e582594 	 GET 	 undefined 	 /index
20231118	12:23:42 	 dc8e78a4-afc9-458a-ac9e-5e2fb6cb8f5b 	 GET 	 undefined 	 /css/style.css
20231118	12:28:58 	 128ab9e7-db19-4e6b-8695-0158c6b81fac 	 GET 	 undefined 	 /index
20231118	12:58:34 	 ebb8fee9-21ad-4618-bbfe-7c7c55f069c2 	 GET 	 undefined 	 /hi
20231118	13:25:53 	 e2069a06-ba21-4ab2-92b1-e9ce5ea96154 	 GET 	 undefined 	 /
20231118	13:25:53 	 e5df4cf8-8cce-4d04-a62e-86f75f396a6f 	 GET 	 undefined 	 /css/style.css
20231118	13:26:04 	 002ac1fc-6f50-4c7a-836b-44c7836e6dc1 	 GET 	 undefined 	 /
20231118	13:26:05 	 47e8cb53-338e-419d-ac8a-dba92e1612ec 	 GET 	 undefined 	 /
20231118	13:26:05 	 e6fe02fd-5b15-4180-8d67-2dd8ddb8960f 	 GET 	 undefined 	 /
20231118	13:26:05 	 935115ab-ac0a-47d4-af63-573f8f6b6c84 	 GET 	 undefined 	 /
20231118	13:26:33 	 fa3f6c2a-cca7-4d4c-acc5-55c2213aaeba 	 GET 	 undefined 	 /subdir
20231118	14:58:56 	 3b5bfa8b-e4ea-4d3f-be6c-2508c33cc8ba 	 GET 	 undefined 	 /
20231118	14:58:56 	 f6a6a724-ec7d-4826-b2dc-f3690899ccdb 	 GET 	 undefined 	 /css/style.css
20231118	14:59:03 	 b03a9ac0-565b-4598-bb2b-c3abc021dfcc 	 GET 	 undefined 	 /subdir
20231118	15:01:06 	 ca75c553-b5d7-4899-90b6-86c2754d817f 	 GET 	 undefined 	 /subdir/test.html
20231118	15:01:41 	 016bbe6d-4869-4133-8fb5-73e6ac476a5f 	 GET 	 undefined 	 /subdir/test.html
20231118	15:01:43 	 d69ef614-c006-4bb6-a60b-cea9b4b6d180 	 GET 	 undefined 	 /subdir/test.html
20231118	15:01:43 	 d230dcdd-cf55-4c5a-afaf-cd4de9e21b20 	 GET 	 undefined 	 /subdir/test.html
20231118	15:01:43 	 6dac68f2-607c-4a9e-8e61-26179e3ffc87 	 GET 	 undefined 	 /subdir/test.html
20231118	15:01:43 	 6aa7d118-babc-4a0e-bba7-0b1c56e4d698 	 GET 	 undefined 	 /subdir/test.html
20231118	15:01:44 	 0e48ae0c-b5a1-4514-9d82-308c72eef9da 	 GET 	 undefined 	 /subdir/test.html
20231118	15:02:38 	 209f9790-5cc2-4f12-89ee-0397c001fbe4 	 GET 	 undefined 	 /subdir/test.html
20231118	15:05:28 	 f918d81b-6c8e-47b7-8812-de4b41824685 	 GET 	 undefined 	 /subdir/tesss
20231118	15:05:38 	 cf88b337-ae20-469b-b886-314b6963e8a0 	 GET 	 undefined 	 /subdir/tesss
20231118	15:05:39 	 422fd186-cadb-4252-945a-3dd07eb7924e 	 GET 	 undefined 	 /subdir/tesss
20231118	15:05:39 	 a8ada6e2-3198-4ee3-b931-32cb8d468943 	 GET 	 undefined 	 /subdir/tesss
20231118	15:06:08 	 deeba5d2-20a0-4347-9b94-635c0256fc8b 	 GET 	 undefined 	 /subdir/tesss
20231118	15:06:08 	 46ca281a-ebc2-4011-8103-e79c361eca78 	 GET 	 undefined 	 /subdir/css/style.css
20231118	15:06:08 	 08807413-45ff-40e0-bf19-7b300a4f62ab 	 GET 	 undefined 	 /subdir/tesss
20231118	15:06:08 	 936e40f5-2eb6-47be-bd17-674d31d81d4b 	 GET 	 undefined 	 /subdir/css/style.css
20231118	15:07:08 	 8cf77c7a-a29a-4530-b67e-fb372514ff0d 	 GET 	 undefined 	 /subdir/tesss
20231118	15:07:08 	 a5525977-64ed-4e09-8c6a-8bc8567d5585 	 GET 	 undefined 	 /subdir/css/style.css
20231118	15:07:08 	 91b085b4-0b09-410b-a143-c83104e02e0c 	 GET 	 undefined 	 /subdir/tesss
20231118	15:07:08 	 eeda0a88-186f-49f4-8024-5f00f02aade2 	 GET 	 undefined 	 /subdir/css/style.css
20231118	15:07:15 	 65d37986-61ce-437f-88b8-e46adf8e6dbc 	 GET 	 undefined 	 /su
20231118	15:07:15 	 d31793bc-164e-44bb-ad8c-a1b9541d82d8 	 GET 	 undefined 	 /css/style.css
20231118	15:07:28 	 8b6ccfe6-1efd-4a82-9957-f2dcca51fe1b 	 GET 	 undefined 	 /subdir/444
20231118	15:07:28 	 8a83ad9d-ddb5-4765-b4de-d4dec824dd8e 	 GET 	 undefined 	 /subdir/css/style.css
20231118	15:07:34 	 73541a1f-cbca-4497-b6c2-288d7158c126 	 GET 	 undefined 	 /subdir/444
20231118	15:07:34 	 2c2e21d9-729f-43e6-b5da-ff899bde774c 	 GET 	 undefined 	 /subdir/css/style.css
20231118	15:19:43 	 672dd901-ff2f-44b1-9efb-a1ca624b22ca 	 GET 	 undefined 	 /subdir/444
20231118	15:19:43 	 428aceab-d7ff-49aa-aeea-174a2458ee1f 	 GET 	 undefined 	 /subdir/css/style.css
20231118	15:19:46 	 feb122b7-283f-45aa-81a1-a9655c51d80e 	 GET 	 undefined 	 /
20231118	15:19:46 	 96274a05-128a-4156-8e6c-55f103682ba9 	 GET 	 undefined 	 /css/style.css
20231118	15:38:52 	 a1c164b0-ec34-4c22-9501-e747024c5bfb 	 GET 	 undefined 	 /new-page
20231118	15:38:52 	 88b1aa6b-796f-4ded-880c-89f7ce21deaa 	 GET 	 undefined 	 /img/Screenshot.png
20231118	15:46:50 	 1f816aa2-1c9d-437b-aa93-a482c47e9e18 	 GET 	 undefined 	 /employees
20231118	15:49:41 	 d3ecc05e-c146-4b04-a588-408b892bcbbc 	 GET 	 undefined 	 /employees
20231118	15:50:41 	 3f964e37-130e-45f7-b937-3de42a8fb85f 	 POST 	 undefined 	 /employees
20231118	15:52:04 	 e170617f-151c-4039-b756-069aa001e935 	 PUT 	 undefined 	 /employees
20231118	15:52:18 	 f0f4e5d3-87c1-4763-8bb2-0d036bc5cd5e 	 PUT 	 undefined 	 /employees
20231118	15:52:39 	 66207c7d-e735-4076-bb2d-f5e40e4c2b1e 	 PUT 	 undefined 	 /employees
20231118	15:52:52 	 888f8589-2c54-42ee-a95b-e3628d4eb810 	 PUT 	 undefined 	 /employees
20231118	15:53:03 	 6d7cfe31-8605-4dcb-93bc-c8de1dae5326 	 PUT 	 undefined 	 /employees
20231118	15:53:38 	 ad9d754f-55af-4313-8ead-05e947e54d9a 	 PUT 	 undefined 	 /employees
20231118	15:54:23 	 22cb9b98-496e-42f8-91bf-ba4d63c9fe79 	 DELETE 	 undefined 	 /employees
20231118	15:54:47 	 93e8e062-47a9-439a-80dc-28e14dc074fe 	 DELETE 	 undefined 	 /employees
20231118	15:54:55 	 77fdd836-3f6c-489a-87f6-0e98ef0ff14c 	 DELETE 	 undefined 	 /employees
20231118	15:56:09 	 077ba5f9-f56b-456f-b690-e44351fb4e73 	 DELETE 	 undefined 	 /employees
20231118	15:57:43 	 7e3355e3-710e-4033-8c05-1ea817fd2b7f 	 DELETE 	 undefined 	 /employees/4
20231118	15:58:10 	 2c5cffcb-18c3-4f75-bc70-8d2a2461a6b9 	 DELETE 	 undefined 	 /employees/4
20231118	15:58:21 	 00cbe663-87b3-422f-81ef-dfab0eacb73c 	 GET 	 undefined 	 /employees/4
20231118	15:58:44 	 5de34965-6e88-418b-b24f-4cf0e93db19b 	 DELETE 	 undefined 	 /employees/4
20231118	15:58:49 	 056b3b24-5c8c-43ae-983d-d90d664bc68c 	 DELETE 	 undefined 	 /employees
20231118	15:59:35 	 8699fe0b-8d6a-412b-8e96-b0a7f76a4b05 	 DELETE 	 undefined 	 /employees
20231118	15:59:41 	 7c1dba72-1e86-4e27-9b2f-0283d750e0bb 	 POST 	 undefined 	 /employees
20231118	16:03:14 	 68281407-06a7-4353-8848-eabf1d023afc 	 PUT 	 undefined 	 /employees
20231118	16:03:50 	 964a5137-d5a3-4cbd-8c77-e024211e5483 	 PUT 	 undefined 	 /employees
20231118	16:03:56 	 17486214-b07d-4e8f-84f7-b3baaa65040d 	 PUT 	 undefined 	 /employees
20231118	16:04:26 	 2a865f95-7c12-4b95-afa1-f3580f8ffd07 	 PUT 	 undefined 	 /employees
20231118	16:07:19 	 ffdc2199-66d8-4de8-9513-335a4f01a861 	 PUT 	 undefined 	 /employees
20231118	16:07:39 	 04420123-f906-4723-be29-ecaa27a55b27 	 PUT 	 undefined 	 /employees
20231118	16:07:57 	 38260b5a-0375-47e0-aa8d-bcefc27699d3 	 PUT 	 undefined 	 /employees
20231118	16:11:01 	 cee20ac1-102f-4a4d-9e73-a19187858755 	 PUT 	 undefined 	 /employees
20231118	16:11:24 	 b075ecf6-eb9b-41b3-87af-7f6478f424aa 	 DELETE 	 undefined 	 /employees
20231118	17:06:06 	 dba9e41b-4239-40bd-b84b-74e2c5287ec7 	 GET 	 undefined 	 /employees
20231118	17:07:13 	 6e93ad69-5ac4-4534-83a2-7e7899b50f7c 	 GET 	 undefined 	 /employees
20231119	08:25:10 	 b9752a04-d017-416f-b626-b3ba0a774adb 	 GET 	 undefined 	 /employees
20240318	08:32:40 	 1e9d25b2-415d-4e72-903e-5250271c8550 	 POST 	 undefined 	 /register
20240318	08:33:29 	 f2f035b1-df8d-45e4-a004-8ab9bfe4de5f 	 POST 	 undefined 	 /register
20240318	08:34:36 	 e3504d32-243b-4862-9b77-6b761deb9e49 	 POST 	 undefined 	 /register
20240318	08:34:49 	 88a6d03c-a568-41f8-9d5a-12e633b9c126 	 POST 	 undefined 	 /register
20240318	08:35:00 	 141061cf-323b-4174-9f24-996608383488 	 POST 	 undefined 	 /register
20240318	08:36:12 	 62ebd713-348f-4549-bb7f-dbd3652cb6fa 	 POST 	 undefined 	 /register
20240318	08:37:16 	 f7a8612b-1ac1-438b-bd11-970242503ec6 	 POST 	 undefined 	 /register
20240318	09:01:46 	 731269fd-6953-490c-bc71-704651a45f3f 	 POST 	 undefined 	 /login
20240318	09:03:05 	 021664fd-d0a3-4940-8f13-795d05e5ed47 	 POST 	 undefined 	 /login
20240318	09:03:58 	 a30434bd-47c7-48cb-9aa9-9d5b953fa8f6 	 POST 	 undefined 	 /login
20240318	09:05:31 	 d873bfd6-f4a7-4778-9ee7-edfb1713f4d0 	 POST 	 undefined 	 /login
20240318	09:06:01 	 be3a11f6-8d72-405f-9979-c0f64bbed614 	 POST 	 undefined 	 /login
20240318	19:44:16 	 c1b9bbf4-482f-482d-afc9-ccb6c67a2713 	 GET 	 http://localhost:5173 	 /api/course
20240324	13:39:23 	 55e7d93e-e7a6-4ba3-bb27-30b320bdf319 	 GET 	 undefined 	 /employees
20240324	13:40:44 	 2ebe89f5-4000-4850-b43c-224614ec172e 	 GET 	 undefined 	 /employees
20240324	13:41:15 	 f3693099-e0f5-4d7c-bdd8-6fc9a262eed3 	 GET 	 undefined 	 /employees
20240324	13:41:28 	 aa7d3cb2-545e-41fc-8221-245c5fb5c98b 	 GET 	 undefined 	 /employees
20240324	13:41:50 	 f48e1970-8911-424a-bc2c-92d5ed6dba5b 	 GET 	 undefined 	 /employees
20240324	13:42:03 	 0800ca65-0072-4da1-97c4-9d44f5adc6db 	 GET 	 undefined 	 /employees
20240324	13:43:51 	 3b10dc73-36db-4be0-aa9d-58c055d0e3a1 	 GET 	 undefined 	 /employees
20240324	14:24:51 	 8b707d28-4a8b-4083-80e0-d22c10b017c5 	 POST 	 undefined 	 /login
20240324	14:24:58 	 4dd6eb38-3b45-45fa-bbad-57dc683ae5b7 	 POST 	 undefined 	 /login
20240324	14:27:20 	 047e8fb4-3f6b-4469-b6c6-99015e7a7c57 	 POST 	 undefined 	 /login
20240324	14:35:11 	 074dea8f-6859-4fc1-bf68-eb59a35ee8f3 	 POST 	 undefined 	 /login
20240324	14:35:25 	 fa108817-6ff4-4faf-a142-a6633283de00 	 GET 	 undefined 	 /employees
20240324	14:35:34 	 3acfe16f-f502-441d-8ecd-b157731f24a1 	 GET 	 undefined 	 /employees
20240324	14:35:37 	 a0daa186-a7e1-47a6-8484-3e318e70931b 	 GET 	 undefined 	 /employees
20240324	14:35:43 	 65eaa5ba-a16b-4454-8bf3-b1c6a0147511 	 GET 	 undefined 	 /employees
20240324	14:36:39 	 841cb80d-9600-4e76-be3e-b1687ea51ab4 	 POST 	 undefined 	 /login
20240324	14:36:48 	 b7546d24-3206-4afd-b925-c96df4d93c9c 	 GET 	 undefined 	 /employees
20240324	14:38:44 	 d54dfcfc-ac4f-4a27-8d17-f2328d24c576 	 POST 	 undefined 	 /login
20240324	14:38:52 	 7ad3e5b9-876a-440c-bd90-522412c64690 	 GET 	 undefined 	 /employees
20240324	14:41:15 	 61250bb8-f883-4dec-a15e-22ec9bb16159 	 POST 	 undefined 	 /login
